#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
CX427,BG154,Philippines,NA,3KG,tej
CX428,BG158,Philippines,NA,3KG,tej
CX429,shen-nong 1033,China,NA,3KG,tej
CX431,Duoxi 1,China,NA,3KG,ind2
CX534,Tongnian 1,China,NA,3KG,tej
CX542,RR2-6,China,NA,3KG,admixed-ind
CX548,Zhongjian 100,China,NA,3KG,admixed-ind
CX561,177-74,China,NA,3KG,ind2
CX578,C21,Philippines,NA,3KG,tej
CX579,C22,Philippines,NA,3KG,admixed-jap
CX6-1,Minghui63,ZJU,NA,ZJU_reseq,indica
CX6-2,Minghui63,ZJU,NA,ZJU_reseq,indica
CX6-4,Minghui63,ZJU,NA,ZJU_reseq,indica
CX7-1,9311,ZJU,NA,ZJU_reseq,indica
CX7-2,9311,ZJU,NA,ZJU_reseq,indica
CX7-3,9311,ZJU,NA,ZJU_reseq,indica
CX7-4,9311,ZJU,NA,ZJU_reseq,indica
CX7-5,9311,ZJU,NA,ZJU_reseq,indica
CX7-x,9311,ZJU,NA,ZJU_reseq,indica
CX8-1,IR64,ZJU,NA,ZJU_reseq,indica
CX8-2,IR64,ZJU,NA,ZJU_reseq,indica
CX8-3,IR64,ZJU,NA,ZJU_reseq,indica
CX8-4,IR64,ZJU,NA,ZJU_reseq,indica
