#Genotype_assay_ID,GS_accession_name,Country,GS_id(separated from accession),SampleSet,Subpop
IRIS_313-10020,HODARAWALA,Sri Lanka,IRGC 67631-1,RDP2,aus
IRIS_313-10000,SUWEON 311,Korea, Republic of,IRGC 61890-1,3KG,ind2
IRIS_313-10001,C 662083,Taiwan,IRGC 62101-1,3KG,ind2
IRIS_313-10002,BW 295-5,Sri Lanka,IRGC 63098-1,3KG,ind2
IRIS_313-10007,GARURA,Nepal,IRGC 64111-1,3KG,ind3
IRIS_313-10010,LALKA (LAL DHAN),Fiji,IRGC 64946-1,3KG,ind3
IRIS_313-10014,SANT ANDREA,Italy,IRGC 65732-1,3KG,tej
IRIS_313-10016,BOHOTO BALOOCHESTAN,Iran,IRGC 66237-1,3KG,admixed-ind
IRIS_313-10025,KALAPATLE,Madagascar,IRGC 68500-1,3KG,admixed
IRIS_313-10026,KITRANA 1007,Madagascar,IRGC 68517-1,3KG,ind3
IRIS_313-10030,NS 252,Madagascar,IRGC 68878-1,3KG,admixed-ind
IRIS_313-10032,NS 1576,Madagascar,IRGC 68951-1,3KG,aro
IRIS_313-10034,RIZ INDETERMINE,Niger,IRGC 69014-1,3KG,admixed-ind
IRIS_313-10035,RIZ TYPE SORGHO,Madagascar,IRGC 69015-1,3KG,ind3
IRIS_313-10040,MILYANG 77,Korea, Republic of,IRGC 69340-1,3KG,ind2
IRIS_313-10041,BOTOHAVANA MENA,Madagascar,IRGC 69349-1,3KG,trj
IRIS_313-10045,BANTA TIMA,Gambia,IRGC 69474-1,3KG,ind3
IRIS_313-10046,CHAMA (DWARF),Zambia,IRGC 69487-1,3KG,ind2
IRIS_313-10047,EX MARABA GURUKU,Nigeria,IRGC 69582-1,3KG,ind1
IRIS_313-10048,MOVE (MOKOLE),Benin,IRGC 69739-1,3KG,admixed-ind
IRIS_313-10050,TSIMATAHOPAOSA,Madagascar,IRGC 69884-1,3KG,ind3
IRIS_313-10051,TSIVIMBININA,Madagascar,IRGC 69890-1,3KG,trj
IRIS_313-10054,TOC 5430,Panama,IRGC 70487-1,3KG,ind2
IRIS_313-10056,HOKURIKU 52,Japan,IRGC 72491-1,3KG,admixed-jap
IRIS_313-10057,CHUGOKU 68 HEN,Japan,IRGC 72514-1,3KG,tej
IRIS_313-10059,DACHEONGBYEO,Korea, Republic of,IRGC 72533-1,3KG,tej
IRIS_313-10061,ESTRELA A,Portugal,IRGC 72918-1,3KG,admixed-jap
IRIS_313-10062,REA,Greece,IRGC 73031-1,3KG,admixed-jap
IRIS_313-10065,JAERAERYUKDO,Korea, Republic of,IRGC 73053-1,3KG,admixed-jap
IRIS_313-10067,JEONBUKGUNGWEONNA,Korea, Republic of,IRGC 73055-1,3KG,admixed-jap
IRIS_313-10071,CHIYODA WASE,Japan,IRGC 74467-1,3KG,admixed-jap
IRIS_313-10073,OWARI MOCHI,Japan,IRGC 74513-1,3KG,admixed-jap
IRIS_313-10074,RIKU AIKOKU,Japan,IRGC 74514-1,3KG,admixed-jap
IRIS_313-10075,SANGOKU,Japan,IRGC 74518-1,3KG,admixed-jap
IRIS_313-10076,SHINA MOCHI,Japan,IRGC 74523-1,3KG,admixed-jap
IRIS_313-10077,TAMASHIRO HIKARI,Japan,IRGC 74534-1,3KG,ind3
IRIS_313-10078,YOSHINO MOCHI,Japan,IRGC 74550-1,3KG,admixed-jap
IRIS_313-10079,DANGO MOCHI,Japan,IRGC 74551-1,3KG,admixed-jap
IRIS_313-10080,HIRAKAWA OKUTE,Japan,IRGC 74554-1,3KG,admixed-jap
IRIS_313-10082,KYUUSHUU,Japan,IRGC 74558-1,3KG,admixed-jap
IRIS_313-10083,BETIS,Spain,IRGC 74581-1,3KG,admixed-jap
IRIS_313-10084,SENIA,Spain,IRGC 74582-1,3KG,tej
IRIS_313-10089,KALIN,Bulgaria,IRGC 77312-1,3KG,tej
IRIS_313-10092,CHALBYEO,Korea, Republic of,IRGC 77639-1,3KG,tej
IRIS_313-10093,CHEONJUDO,Korea, Republic of,IRGC 77644-1,3KG,tej
IRIS_313-10094,GAWICHAL,Korea, Republic of,IRGC 77653-1,3KG,admixed-jap
IRIS_313-10096,JOKJEBICHAL,Korea, Republic of,IRGC 77663-1,3KG,tej
IRIS_313-10097,MAEKJO,Korea, Republic of,IRGC 77666-1,3KG,tej
IRIS_313-10099,MANONGAZATO,Madagascar,IRGC 77876-1,3KG,trj
IRIS_313-10102,KELIRENY,Madagascar,IRGC 78426-1,3KG,ind3
IRIS_313-10103,DALSUNG 41,Korea, Republic of,IRGC 79385-1,3KG,admixed-ind
IRIS_313-10109,EX EBOKOZURU,Nigeria,IRGC 79912-1,3KG,ind2
IRIS_313-10111,MOLO,Italy,IRGC 81603-1,3KG,admixed-jap
IRIS_313-10113,EX FOILAEIN (NAPUTO),Mozambique,IRGC 81675-1,3KG,ind2
IRIS_313-10114,FACAGRO 64,Burundi,IRGC 82059-1,3KG,admixed-ind
IRIS_313-10119,GITANO,Italy,IRGC 82424-1,3KG,tej
IRIS_313-10124,GALSAEGSSAL SHAREI,Korea, Republic of,IRGC 82881-1,3KG,tej
IRIS_313-10129,SAN SHIH TSI,China,IRGC 1038-1,3KG,ind1
IRIS_313-10134,PIN GAEW 56,Thailand,IRGC 7887-1,3KG,admixed-ind
IRIS_313-10147,RD 19,Thailand,IRGC 39174-2,3KG,admixed-ind
IRIS_313-10148,CAUVERY,India,IRGC 45255-1,3KG,admixed-ind
IRIS_313-10150,N 22,India,IRGC 46459-1,3KG,aus
IRIS_313-10151,RD 15,Thailand,IRGC 47705-1,3KG,admixed-ind
IRIS_313-10152,KETAN MENAH,Indonesia,IRGC 48733-1,3KG,trj
IRIS_313-10154,HE GU TSAO,China,IRGC 51302-1,3KG,ind1
IRIS_313-10158,PICO NEGRO,Ecuador,IRGC 55849-1,3KG,admixed-ind
IRIS_313-10161,BR IRGA 409,Brazil,IRGC 55915-1,3KG,ind2
IRIS_313-10164,HAN NUO,China,IRGC 59591-1,3KG,tej
IRIS_313-10167,IR 13429-109-2-2-1,Philippines,IRGC 63491-1,3KG,ind2
IRIS_313-10168,MEI FENG 9,China,IRGC 63735-1,3KG,admixed-ind
IRIS_313-10170,MIN ZAO 6,China,IRGC 63772-1,3KG,ind1
IRIS_313-10171,YA NONG ZAO 4,China,IRGC 63908-1,3KG,ind1
IRIS_313-10176,NAM ROO,Thailand,IRGC 66996-1,3KG,admixed-jap
IRIS_313-10177,DA GANG ZHAN,China,IRGC 67103-1,3KG,admixed-ind
IRIS_313-10178,GAO JIAO BAI,China,IRGC 68047-1,3KG,ind1
IRIS_313-10179,GUI HUA ZAO,China,IRGC 68060-1,3KG,admixed-ind
IRIS_313-10189,DA NUO (ZHAN),China,IRGC 72025-1,3KG,ind1
IRIS_313-10190,DENG DENG QI,China,IRGC 72036-1,3KG,ind1
IRIS_313-10191,MIN KE ZHAN,China,IRGC 72230-1,3KG,ind1
IRIS_313-10196,GUO DI HEI,China,IRGC 72697-2,3KG,trj
IRIS_313-10211,BAI HE,China,IRGC 76438-1,3KG,ind1
IRIS_313-10220,EPEAL 102,Brazil,IRGC 78698-1,3KG,admixed-ind
IRIS_313-10221,BA BAI GU,China,IRGC 79580-1,3KG,admixed-ind
IRIS_313-10224,HUA LI ZAO,China,IRGC 80950-1,3KG,ind1
IRIS_313-10226,TONG GU HONG,China,IRGC 81026-1,3KG,admixed-ind
IRIS_313-10228,HAN NUO,China,IRGC 82350-1,3KG,tej
IRIS_313-10234,PSBRC 50,Philippines,IRGC 99706-1,3KG,ind2
IRIS_313-10235,PSBRC 68,Philippines,IRGC 99711-1,3KG,ind2
IRIS_313-10237,PSBRC 86,Philippines,IRGC 99716-2,3KG,ind2
IRIS_313-10238,PSBRC 88,Philippines,IRGC 99717-1,3KG,ind2
IRIS_313-10239,LIU XU,China,IRGC 109232-1,3KG,admixed-ind
IRIS_313-10242,H 305-84,Hungary,IRGC 116988-1,3KG,tej
IRIS_313-10247,AMISTAD 82,Cuba,IRGC 116954-1,3KG,ind2
IRIS_313-10257,ALTAMIRA 9,Nicaragua,IRGC 116953-1,3KG,ind2
IRIS_313-10258,BULI INIA,Chile,IRGC 116961-1,3KG,admixed-jap
IRIS_313-10260,CEA 3,Paraguay,IRGC 116965-1,3KG,admixed-ind
IRIS_313-10263,CUYAMEL 3820,Mexico,IRGC 116975-1,3KG,ind2
IRIS_313-10268,FONAIAP 2,Venezuela,IRGC 116985-1,3KG,ind2
IRIS_313-10271,IA CUBA 17,Cuba,IRGC 116990-1,3KG,ind2
IRIS_313-10272,COLOMBIA 1,Colombia,IRGC 116970-1,3KG,admixed-jap
IRIS_313-10274,ICTA CRISPO 38,Guatemala,IRGC 116994-1,3KG,ind2
IRIS_313-10275,ICTA MOTAGUA,Guatemala,IRGC 116995-1,3KG,admixed-ind
IRIS_313-10279,JUMA 62,Dominican Republic,IRGC 117011-1,3KG,ind2
IRIS_313-10285,SICAN,Peru,IRGC 117029-1,3KG,admixed-ind
IRIS_313-10287,UQUIHUA,Peru,IRGC 117037-1,3KG,ind2
IRIS_313-10289,ARAURE 1,Venezuela,IRGC 116956-1,3KG,ind2
IRIS_313-10290,ELONI,Surinam,IRGC 116980-1,3KG,ind2
IRIS_313-10293,ECIA 24-107-1,Cuba,IRGC 116978-1,3KG,ind2
IRIS_313-10294,IR 21015-72-3-3-3-1,Philippines,IRGC 117004-1,3KG,ind2
IRIS_313-10295,PDR 34-2-1-2,Pakistan,IRGC 117020-1,3KG,admixed
IRIS_313-10298,3210,Sri Lanka,IRGC 116950-1,3KG,ind2
IRIS_313-10300,CT 9506-18-7-1T-2,Colombia,IRGC 116973-1,3KG,ind2
IRIS_313-10301,IRGA 959-1-2-2F-4-1-4A-6-CA-6X,Brazil,IRGC 117006-1,3KG,admixed-ind
IRIS_313-10307,INIAP 6,Ecuador,IRGC 117002-1,3KG,admixed-ind
IRIS_313-10314,INIAP 10,Ecuador,IRGC 117000-1,3KG,ind2
IRIS_313-10318,RUSTIC,Guyana,IRGC 117026-1,3KG,admixed-ind
IRIS_313-10325,CAMPONI,Surinam,IRGC 116963-1,3KG,admixed-ind
IRIS_313-10327,CAROLINO BLANCO,Peru,IRGC 117249-1,3KG,trj
IRIS_313-10332,B 4414 F-MR-6-3,Indonesia,IRGC 117310-1,3KG,ind2
IRIS_313-10333,B 6136-3-TB-0-1-5,Indonesia,IRGC 117312-1,3KG,ind2
IRIS_313-10334,B 6136 E-3-TB-0-1-5,Indonesia,IRGC 117311-1,3KG,ind2
IRIS_313-10336,B 6144-MR-6-0-0,Lao People's Democratic Republic,IRGC 117371-2,3KG,trj
IRIS_313-10337,B 6149 F-MR-7,Indonesia,IRGC 117314-1,3KG,ind2
IRIS_313-10340,BR 4973-34-6-6,Bangladesh,IRGC 117317-1,3KG,admixed-ind
IRIS_313-10341,BR 5230-46-4,Bangladesh,IRGC 117318-1,3KG,admixed-ind
IRIS_313-10348,CSR-89 IR-15,India,IRGC 117326-1,3KG,admixed-ind
IRIS_313-10349,CSR-90 IR-2,India,IRGC 117327-1,3KG,admixed-ind
IRIS_313-10352,CT 9737-6-1-1-2-2P-M,Colombia,IRGC 117330-1,3KG,admixed-ind
IRIS_313-10353,HP 3319-2WX-6-4-1-B,Korea, Republic of,IRGC 117331-1,3KG,admixed-ind
IRIS_313-10355,IR 31142-14-1-1-3-1-1-2,Philippines,IRGC 117378-1,3KG,admixed-ind
IRIS_313-10357,IR 52718-B-B-6-B-B-1-1,Philippines,IRGC 117334-1,3KG,admixed-ind
IRIS_313-10359,IR 53650-2B-10-1-2-1,Philippines,IRGC 117379-1,3KG,admixed-ind
IRIS_313-10360,IR 57514-PMI 5-B-1-2,Philippines,IRGC 117372-1,3KG,admixed-ind
IRIS_313-10361,IR 63295-AC 209-7,Philippines,IRGC 117365-1,3KG,admixed-ind
IRIS_313-10366,IR 65483-111-5-9-2-11,Philippines,IRGC 117286-1,3KG,ind2
IRIS_313-10371,IR 67518-B-11-1-B,Philippines,IRGC 117380-1,3KG,admixed-ind
IRIS_313-10373,IR 68333-R-R-B-19,Philippines,IRGC 117381-1,3KG,tej
IRIS_313-10374,IR 69502-6-SRN-3-UBN-1-B,Philippines,IRGC 117290-1,3KG,ind2
IRIS_313-10375,IR 70027-8-2-2-3-2,Philippines,IRGC 117382-1,3KG,ind2
IRIS_313-10379,IR 73688-57-2,Philippines,IRGC 117383-1,3KG,tej
IRIS_313-10380,IR 73690-7-2-1-1-3-2-2-1,Philippines,IRGC 117384-1,3KG,aus
IRIS_313-10385,IR 75870-5-8-5-B-1,Philippines,IRGC 117297-1,3KG,ind2
IRIS_313-10392,IR 77390-1-6-4-19-1-B,Philippines,IRGC 117303-1,3KG,ind2
IRIS_313-10394,IR 80310-12-B-1-3-B,Philippines,IRGC 117307-1,3KG,ind2
IRIS_313-10396,IR 80340-23-B-12-6-B,Philippines,IRGC 117309-1,3KG,admixed-ind
IRIS_313-10397,IRGA 318-11-6-9-2B,Colombia,IRGC 117339-1,3KG,ind2
IRIS_313-10398,IRGA 318-11-9-2A,Colombia,IRGC 117340-1,3KG,ind2
IRIS_313-10399,IRGA 346-111-2-1F,Colombia,IRGC 117341-1,3KG,ind2
IRIS_313-10400,IRGA 370-38-1-1F-C4-2,Colombia,IRGC 117342-1,3KG,ind2
IRIS_313-10401,IRGA 370-42-1-1F-C-1,Colombia,IRGC 117343-1,3KG,ind2
IRIS_313-10402,IRGA 411-1-6-1F-A,Colombia,IRGC 117344-1,3KG,ind2
IRIS_313-10403,IRGA 659-1-2-2-2,Colombia,IRGC 117345-1,3KG,ind2
IRIS_313-10404,K 479-2-3,India,IRGC 117346-1,3KG,ind1
IRIS_313-10412,RR 272-17-829,Indonesia,IRGC 117354-1,3KG,ind2
IRIS_313-10417,UPR 1201-1-20-1,India,IRGC 117357-1,3KG,admixed-ind
IRIS_313-10421,WAR 72-2-1-1,Sierra Leone,IRGC 117361-1,3KG,ind2
IRIS_313-10422,WAR 87-7-A10-2-B-B-B-1,Sierra Leone,IRGC 117362-2,3KG,admixed-ind
IRIS_313-10423,YN 1353-3,Myanmar,IRGC 117363-1,3KG,ind2
IRIS_313-10428,SERAUP 50,Malaysia,IRGC 14-1,3KG,ind2
IRIS_313-10429,TAICHUNG 150,Taiwan,IRGC 80-1,3KG,tej
IRIS_313-10430,GINMASARI,Japan,IRGC 242-1,3KG,tej
IRIS_313-10433,TP MIL 53,Philippines,IRGC 326-2,3KG,ind2
IRIS_313-10437,NORIN 21,Japan,IRGC 493-1,3KG,tej
IRIS_313-10440,NAGKAYAT,Philippines,IRGC 584-1,3KG,tej
IRIS_313-10441,CASIBON,Philippines,IRGC 589-2,3KG,admixed-ind
IRIS_313-10444,FORTUNA COLORADO,Central America,IRGC 703-1,3KG,admixed-jap
IRIS_313-10448,BINOLAYANGUN,Philippines,IRGC 791-2,3KG,admixed-ind
IRIS_313-10449,CI 7061,China,IRGC 968-1,3KG,ind1
IRIS_313-10450,CHAN KU,China,IRGC 1069-1,3KG,ind1
IRIS_313-10452,LING TA 150,China,IRGC 1106-1,3KG,ind1
IRIS_313-10453,LU TAO 2,China,IRGC 1175-1,3KG,admixed-jap
IRIS_313-10458,P 168,China,IRGC 1354-1,3KG,ind1
IRIS_313-10459,PI 160862-1,China,IRGC 1452-2,3KG,admixed-jap
IRIS_313-10469,KINUGASAWASE,Japan,IRGC 2609-1,3KG,tej
IRIS_313-10476,PACHCHAIPERUMAL 2462-11,Sri Lanka,IRGC 3474-1,3KG,ind3
IRIS_313-10477,RUSTY LATE,China,IRGC 3506-1,3KG,admixed-ind
IRIS_313-10480,PULUT NANGKA 16,Indonesia,IRGC 3630-2,3KG,ind2
IRIS_313-10484,PILIT (7480) SELN (CI 12007),Philippines,IRGC 3758-1,3KG,admixed-jap
IRIS_313-10485,CATIBOS,Philippines,IRGC 3762-1,3KG,trj
IRIS_313-10489,MOROPOTOL,Philippines,IRGC 3909-1,3KG,trj
IRIS_313-10497,CE IN TSAN,China,IRGC 4362-1,3KG,ind1
IRIS_313-10502,TON ROO SHUN,China,IRGC 4572-1,3KG,ind1
IRIS_313-10503,HA GOO,China,IRGC 4577-1,3KG,ind1
IRIS_313-10504,HSIEH DAU,China,IRGC 4727-1,3KG,ind1
IRIS_313-10506,PARN A 191,Thailand,IRGC 4932-3,3KG,ind2
IRIS_313-10507,HSIANG TSENF TAO,Taiwan,IRGC 5008-1,3KG,admixed-jap
IRIS_313-10509,AMBARIKORI,West Africa,IRGC 5132-1,3KG,admixed-ind
IRIS_313-10510,MAGSIING,Philippines,IRGC 5211-1,3KG,admixed-ind
IRIS_313-10511,MACAN SAPAC,Philippines,IRGC 5212-2,3KG,admixed-ind
IRIS_313-10513,LUBANG PUTI,Philippines,IRGC 5429-1,3KG,admixed-ind
IRIS_313-10514,CAMPENA,Philippines,IRGC 5452-2,3KG,ind2
IRIS_313-10515,TAICHUNG WOO GEN 2,Taiwan,IRGC 5525-1,3KG,ind1
IRIS_313-10516,O. SATIVA,United States of America,IRGC 5779-1,3KG,admixed-ind
IRIS_313-10517,SIPOT,Philippines,IRGC 5825-1,3KG,admixed-ind
IRIS_313-10518,KHAYANGYA D 34-181,Myanmar,IRGC 5861-2,3KG,ind3
IRIS_313-10519,ADT 22,India,IRGC 5901-3,3KG,ind3
IRIS_313-10520,NATURAL HYBRID C 33-8,Myanmar,IRGC 5929-3,3KG,ind3
IRIS_313-10521,SANNABATHA,India,IRGC 5971-1,3KG,aro
IRIS_313-10522,SUKAMANDI 1005,Indonesia,IRGC 6065-1,3KG,admixed-jap
IRIS_313-10523,PTB 18,India,IRGC 6105-3,3KG,ind3
IRIS_313-10524,KHAO BAI SRI,Thailand,IRGC 6110-2,3KG,ind2
IRIS_313-10525,BANDANG PUTIH 680,Indonesia,IRGC 6133-2,3KG,ind2
IRIS_313-10526,CO 2,India,IRGC 6186-2,3KG,ind3
IRIS_313-10527,ADT 12,India,IRGC 6254-1,3KG,ind3
IRIS_313-10531,HR 22,India,IRGC 6394-1,3KG,admixed
IRIS_313-10534,D 204-1,India,IRGC 6445-1,3KG,aus
IRIS_313-10536,GAMTI 1-34,Tanzania,IRGC 6479-2,3KG,ind3
IRIS_313-10537,KALAMON 113,Bangladesh,IRGC 6534-3,3KG,admixed
IRIS_313-10539,BADAL 76,Bangladesh,IRGC 6586-1,3KG,ind3
IRIS_313-10541,IACA ESCURO,Guinea-Bissau,IRGC 6636-1,3KG,trj
IRIS_313-10542,BELLO,India,IRGC 6658-2,3KG,ind3
IRIS_313-10543,DODGUI,India,IRGC 6666-1,3KG,aus
IRIS_313-10544,DONGREM,India,IRGC 6688-1,3KG,ind3
IRIS_313-10545,KARIA,_no_info,IRGC 6702-1,3KG,aus
IRIS_313-10547,C 34-13,Myanmar,IRGC 6797-2,3KG,ind3
IRIS_313-10549,RATUA 81,Pakistan,IRGC 6829-1,3KG,aus
IRIS_313-10550,221 BC 4-1-45-10,Indonesia,IRGC 6865-1,3KG,ind2
IRIS_313-10552,RL GOPHER,United States of America,IRGC 6934-2,3KG,trj
IRIS_313-10554,BONG SEN,Viet Nam,IRGC 7011-1,3KG,admixed-ind
IRIS_313-10555,LUA HUONG T 1,Viet Nam,IRGC 7082-2,3KG,ind2
IRIS_313-10556,LUA DEN MUA,Viet Nam,IRGC 7185-3,3KG,admixed-ind
IRIS_313-10557,KONG MARETH 4 T 1,Cambodia,IRGC 7248-3,3KG,ind2
IRIS_313-10558,LITCHIKIANG,China,IRGC 7287-1,3KG,tej
IRIS_313-10559,FI LAI FENG,China,IRGC 7288-1,3KG,tej
IRIS_313-10560,TA PAI MAUNG,China,IRGC 7292-1,3KG,ind1
IRIS_313-10561,NAN TEO 14,China,IRGC 7304-1,3KG,ind1
IRIS_313-10562,SENG CHUI LIN,China,IRGC 7313-1,3KG,tej
IRIS_313-10563,SHA TIAO TSAO,China,IRGC 7339-1,3KG,tej
IRIS_313-10564,250 KUNGANI 1,Japan,IRGC 7370-1,3KG,tej
IRIS_313-10565,221 B 36-1-1-1-1,Indonesia,IRGC 7585-1,3KG,ind2
IRIS_313-10566,221 C 391-1-3-3,Indonesia,IRGC 7600-1,3KG,ind2
IRIS_313-10567,AIKAWA 44,Japan,IRGC 7676-1,3KG,tej
IRIS_313-10568,OITA MII 120,Japan,IRGC 7696-1,3KG,tej
IRIS_313-10569,BEN KEI,Japan,IRGC 7769-1,3KG,tej
IRIS_313-10570,CHUSEI HONEN,Japan,IRGC 7777-1,3KG,tej
IRIS_313-10572,KOTHMALLI KARUPPAN,Nigeria,IRGC 7842-1,3KG,admixed-ind
IRIS_313-10573,SOSSOKA OULE,Mali,IRGC 7850-2,3KG,ind3
IRIS_313-10574,KAILUNDO,Sierra Leone,IRGC 7859-2,3KG,ind3
IRIS_313-10575,KAYANGYA D 402,Myanmar,IRGC 7927-2,3KG,ind3
IRIS_313-10576,BAANYALOJOPOIHUN,Sierra Leone,IRGC 7928-2,3KG,ind3
IRIS_313-10577,IFUGAO RICE,Philippines,IRGC 8052-1,3KG,trj
IRIS_313-10578,PARAY QIKUG KABAYUH,Philippines,IRGC 8059-1,3KG,trj
IRIS_313-10580,PARAY KINARABAW,Philippines,IRGC 8083-1,3KG,trj
IRIS_313-10581,P PEY SIQAT,Philippines,IRGC 8129-1,3KG,trj
IRIS_313-10582,QINOGNAS,Philippines,IRGC 8135-1,3KG,trj
IRIS_313-10583,TSAO SIAO PEH TAO,China,IRGC 8265-2,3KG,tej
IRIS_313-10585,UKON NISHIKI,Japan,IRGC 8314-1,3KG,admixed
IRIS_313-10587,DB 3,Bangladesh,IRGC 8361-1,3KG,aus
IRIS_313-10592,DJ 69,Bangladesh,IRGC 8482-1,3KG,aus
IRIS_313-10593,DJ 47,Bangladesh,IRGC 8497-1,3KG,aus
IRIS_313-10594,DJ 29,Bangladesh,IRGC 8505-1,3KG,aus
IRIS_313-10595,DL 5,Bangladesh,IRGC 8593-1,3KG,aus
IRIS_313-10598,DD 126,Bangladesh,IRGC 8667-1,3KG,aus
IRIS_313-10600,UCP 41,Bangladesh,IRGC 8742-1,3KG,aus
IRIS_313-10602,DM 49,Bangladesh,IRGC 8775-1,3KG,aus
IRIS_313-10603,UCP 122,Bangladesh,IRGC 8794-1,3KG,aus
IRIS_313-10604,DV 2,Bangladesh,IRGC 8806-1,3KG,aus
IRIS_313-10605,DV 86,Bangladesh,IRGC 8840-1,3KG,aus
IRIS_313-10606,DV 110,Bangladesh,IRGC 8855-1,3KG,aus
IRIS_313-10608,T 21,India,IRGC 8892-1,3KG,aus
IRIS_313-10609,MATHOLUWA,Sri Lanka,IRGC 8901-1,3KG,ind3
IRIS_313-10610,ALAGUSAMBA,Sri Lanka,IRGC 8944-2,3KG,ind3
IRIS_313-10614,HAM MOON,Hong Kong,IRGC 9135-2,3KG,admixed-ind
IRIS_313-10617,KARA SHALI,Uzbekistan,IRGC 9293-1,3KG,tej
IRIS_313-10618,CHINES,Portugal,IRGC 9316-1,3KG,tej
IRIS_313-10619,BICCO BRANCO,Brazil,IRGC 9478-1,3KG,trj
IRIS_313-10620,R 27,Brazil,IRGC 9498-1,3KG,trj
IRIS_313-10623,SIDALI,Nepal,IRGC 9567-1,3KG,aus
IRIS_313-10628,O. SATIVA,India,IRGC 10164-2,3KG,ind3
IRIS_313-10631,SHINCHIKU IKU 97,Taiwan,IRGC 10429-1,3KG,tej
IRIS_313-10640,SR 26 B,India,IRGC 10803-2,3KG,ind3
IRIS_313-10642,SACHIKAZE,Japan,IRGC 10891-1,3KG,tej
IRIS_313-10644,BUSIYETAN,Philippines,IRGC 11205-1,3KG,trj
IRIS_313-10645,LENKIBE-N,Philippines,IRGC 11216-1,3KG,trj
IRIS_313-10648,PREAH SIHANOUK,Cambodia,IRGC 11328-2,3KG,admixed-ind
IRIS_313-10649,RACION 1,Philippines,IRGC 11340-1,3KG,trj
IRIS_313-10650,NAHNG PRAYAH 132,Thailand,IRGC 11470-1,3KG,ind2
IRIS_313-10651,PHOU SAO LEUM NYANG,Lao People's Democratic Republic,IRGC 11570-2,3KG,admixed-ind
IRIS_313-10652,CHAO PEUAK DENG,Lao People's Democratic Republic,IRGC 11602-1,3KG,admixed-ind
IRIS_313-10653,MAK KHEUA,Lao People's Democratic Republic,IRGC 11628-1,3KG,admixed-jap
IRIS_313-10654,KA SAEN,Lao People's Democratic Republic,IRGC 11642-1,3KG,admixed-ind
IRIS_313-10655,EA HOUM,Lao People's Democratic Republic,IRGC 11783-1,3KG,ind3
IRIS_313-10656,NOK KOD,Lao People's Democratic Republic,IRGC 11784-1,3KG,admixed-jap
IRIS_313-10657,THANGONE,Lao People's Democratic Republic,IRGC 11816-3,3KG,tej
IRIS_313-10659,LONG MA,Lao People's Democratic Republic,IRGC 11867-1,3KG,admixed-ind
IRIS_313-10660,LEP HED,Lao People's Democratic Republic,IRGC 11917-1,3KG,admixed-jap
IRIS_313-10661,SAMBA,Sri Lanka,IRGC 11993-1,3KG,ind3
IRIS_313-10662,KAHATAWEE,Sri Lanka,IRGC 12004-1,3KG,ind3
IRIS_313-10664,ARC 6052,India,IRGC 12196-1,3KG,ind3
IRIS_313-10666,ARC 6218,India,IRGC 12255-1,3KG,ind3
IRIS_313-10667,ARC 7236,India,IRGC 12335-1,3KG,ind3
IRIS_313-10668,ARC 7255,India,IRGC 12343-2,3KG,ind3
IRIS_313-10670,ARC 10296,India,IRGC 12421-2,3KG,aro
IRIS_313-10671,ARC 10581,India,IRGC 12514-1,3KG,admixed-ind
IRIS_313-10673,ARC 10843,India,IRGC 12653-1,3KG,aus
IRIS_313-10674,ARC 10846,India,IRGC 12656-2,3KG,ind3
IRIS_313-10675,ARC 10905,India,IRGC 12669-1,3KG,ind3
IRIS_313-10676,ARC 10916,India,IRGC 12673-1,3KG,admixed-ind
IRIS_313-10677,DEWAMINORI,Japan,IRGC 12743-1,3KG,tej
IRIS_313-10678,MAKALIOKA,Madagascar,IRGC 12781-2,3KG,ind3
IRIS_313-10679,KHAI DO,Lao People's Democratic Republic,IRGC 12903-2,3KG,admixed-jap
IRIS_313-10680,MAK NAM,Lao People's Democratic Republic,IRGC 12940-2,3KG,ind3
IRIS_313-10681,KHAN THAI DO,Lao People's Democratic Republic,IRGC 12990-1,3KG,admixed-ind
IRIS_313-10682,PA KHENG,Lao People's Democratic Republic,IRGC 12996-1,3KG,admixed-ind
IRIS_313-10683,NGAN TIA,Lao People's Democratic Republic,IRGC 13010-1,3KG,admixed-ind
IRIS_313-10684,BONGOLON,Malaysia,IRGC 13094-3,3KG,ind2
IRIS_313-10687,PADI PULUT,Malaysia,IRGC 13444-1,3KG,ind2
IRIS_313-10688,PADI TIMBUN,Malaysia,IRGC 13451-3,3KG,ind2
IRIS_313-10689,SIKEP BATU,Indonesia,IRGC 13514-2,3KG,trj
IRIS_313-10690,LARONDJAWI,Indonesia,IRGC 13571-2,3KG,ind2
IRIS_313-10692,RANDAH SASAK,Indonesia,IRGC 13652-2,3KG,ind2
IRIS_313-10693,SEREH,Indonesia,IRGC 13732-2,3KG,trj
IRIS_313-10694,HAJI HARUN 38,Malaysia,IRGC 13827-2,3KG,ind2
IRIS_313-10695,TOLIL 14,Malaysia,IRGC 13836-2,3KG,admixed-ind
IRIS_313-10697,SIAM ER 16,Malaysia,IRGC 13910-2,3KG,ind2
IRIS_313-10698,RADIN GOI,Malaysia,IRGC 13969-1,3KG,ind2
IRIS_313-10699,BUJANG,Malaysia,IRGC 14040-1,3KG,ind2
IRIS_313-10700,CHANTEK 145,Malaysia,IRGC 14045-1,3KG,ind2
IRIS_313-10701,RADIN EBOS 35,Malaysia,IRGC 14204-1,3KG,ind2
